token,path,system
clip_000,data/generated/keras_tts/kerastts_07.wav,keras_tts
clip_001,data/generated/xtts_zeroshot/xtts_11.wav,xtts_zeroshot
clip_002,data/generated/keras_tts/kerastts_00.wav,keras_tts
clip_003,data/generated/xtts_zeroshot/xtts_08.wav,xtts_zeroshot
clip_004,data/generated/xtts_zeroshot/xtts_07.wav,xtts_zeroshot
clip_005,data/raw/wavs/clip_0019.wav,real
clip_006,data/raw/wavs/clip_0030.wav,real
clip_007,data/generated/xtts_ft/xtts_06.wav,xtts_ft
clip_008,data/generated/xtts_zeroshot/xtts_02.wav,xtts_zeroshot
clip_009,data/raw/wavs/clip_0013.wav,real
clip_010,data/generated/keras_tts/kerastts_06.wav,keras_tts
clip_011,data/generated/xtts_zeroshot/xtts_06.wav,xtts_zeroshot
clip_012,data/generated/xtts_zeroshot/xtts_04.wav,xtts_zeroshot
clip_013,data/generated/xtts_zeroshot/xtts_10.wav,xtts_zeroshot
clip_014,data/generated/xtts_ft/xtts_00.wav,xtts_ft
clip_015,data/generated/xtts_ft/xtts_02.wav,xtts_ft
clip_016,data/generated/xtts_ft/xtts_09.wav,xtts_ft
clip_017,data/generated/xtts_ft/xtts_10.wav,xtts_ft
clip_018,data/generated/xtts_zeroshot/xtts_01.wav,xtts_zeroshot
clip_019,data/raw/wavs/clip_0004.wav,real
clip_020,data/generated/xtts_zeroshot/xtts_05.wav,xtts_zeroshot
clip_021,data/generated/xtts_ft/xtts_07.wav,xtts_ft
clip_022,data/generated/keras_tts/kerastts_05.wav,keras_tts
clip_023,data/generated/keras_tts/kerastts_02.wav,keras_tts
clip_024,data/generated/xtts_ft/xtts_04.wav,xtts_ft
clip_025,data/generated/xtts_zeroshot/xtts_09.wav,xtts_zeroshot
clip_026,data/generated/xtts_zeroshot/xtts_03.wav,xtts_zeroshot
clip_027,data/generated/xtts_ft/xtts_08.wav,xtts_ft
clip_028,data/generated/keras_tts/kerastts_04.wav,keras_tts
clip_029,data/generated/xtts_zeroshot/xtts_00.wav,xtts_zeroshot
clip_030,data/generated/keras_tts/kerastts_09.wav,keras_tts
clip_031,data/generated/keras_tts/kerastts_08.wav,keras_tts
clip_032,data/generated/keras_tts/kerastts_03.wav,keras_tts
clip_033,data/generated/xtts_ft/xtts_11.wav,xtts_ft
clip_034,data/generated/keras_tts/kerastts_01.wav,keras_tts
clip_035,data/generated/keras_tts/kerastts_10.wav,keras_tts
clip_036,data/generated/xtts_ft/xtts_01.wav,xtts_ft
clip_037,data/generated/xtts_ft/xtts_05.wav,xtts_ft
clip_038,data/generated/keras_tts/kerastts_11.wav,keras_tts
clip_039,data/generated/xtts_ft/xtts_03.wav,xtts_ft
